Date-obs_corrected_midexp,XPOS,YPOS,RA,DEC
2022-05-02T11:01:13.530,1176.169312,1040.398315,160.6951822,24.35657238
2022-05-02T11:01:22.090,1172.846924,1045.168091,160.7216781,24.33513843
2022-05-02T11:01:30.570,1169.095947,1048.808838,160.7484315,24.31334983
2022-05-02T11:01:38.989,1166.267822,1050.653809,160.7748587,24.291879
2022-05-02T11:01:47.469,1163.256104,1050.404907,160.8035477,24.26850088
2022-05-02T11:01:56.669,1161.443359,1048.56958,160.8305033,24.24674977
2022-05-02T11:02:13.929,1157.871582,1042.522705,160.8851569,24.20213096
2022-05-02T11:02:22.649,1156.132935,1040.568359,160.9117385,24.18043924
2022-05-02T11:02:31.029,1154.432373,1042.111328,160.9380088,24.15904382
2022-05-02T11:02:39.560,1152.8125,1046.512695,160.9648123,24.13698889
2022-05-02T11:02:48.039,1151.461426,1052.27124,160.9916096,24.11518237
2022-05-02T11:02:56.560,1150.337769,1057.131836,161.0179776,24.09381294
2022-05-02T11:03:13.399,1148.000366,1066.687378,161.0713427,24.05010306
2022-05-02T11:03:21.950,1147.157593,1070.4198,161.09818,24.02822228
2022-05-02T11:03:30.480,1146.198975,1074.383911,161.125106,24.00619657
2022-05-02T11:03:39.120,1145.37793,1077.690796,161.151553,23.98456728
2022-05-02T11:03:47.599,1144.141479,1081.280151,161.1781783,23.96274318
2022-05-02T11:03:56.069,1143.071411,1083.978394,161.2048523,23.94095896
2022-05-02T11:04:04.569,1142.338867,1084.797607,161.2312292,23.91921104
2022-05-02T11:04:12.999,1142.331543,1084.57373,161.2578424,23.89740378
2022-05-02T11:04:21.450,1141.290283,1083.49646,161.2847049,23.87535454
2022-05-02T11:04:30.060,1140.918945,1081.694214,161.3139498,23.85116383
2022-05-02T11:04:48.489,1139.515869,1079.640991,161.3687388,23.80613993
2022-05-02T11:04:56.980,1140.694702,1079.290161,161.3973934,23.78291755
2022-05-02T11:05:06.029,1139.379028,1080.670776,161.424377,23.76069525
2022-05-02T11:05:14.640,1139.359985,1083.034058,161.4507556,23.73893438
2022-05-02T11:05:23.110,1139.089233,1084.571411,161.4771308,23.71717737
2022-05-02T11:05:31.560,1138.747925,1086.687744,161.5058972,23.69340808
2022-05-02T11:05:40.760,1138.629761,1090.228271,161.5322439,23.67193521
2022-05-02T11:05:49.219,1138.898804,1093.750488,161.5591116,23.64959593
2022-05-02T11:05:57.770,1138.569946,1098.468506,161.5869027,23.62680219
2022-05-02T11:06:06.680,1138.741211,1101.811157,161.6132722,23.60491473
2022-05-02T11:06:23.509,1138.409668,1105.735229,161.6657992,23.56137795
2022-05-02T11:06:31.970,1138.847656,1104.227661,161.6922151,23.53948673
2022-05-02T11:06:40.370,1139.3396,1101.757324,161.7189169,23.51749642
2022-05-02T11:06:48.880,1138.393921,1097.800903,161.7453131,23.49565155
2022-05-02T11:06:57.429,1139.505615,1093.800415,161.7715942,23.47391557
2022-05-02T11:07:05.760,1138.677979,1089.47522,161.7981765,23.45183042
2022-05-02T11:07:14.349,1139.848877,1086.932251,161.8248237,23.429966
2022-05-02T11:07:22.779,1140.192871,1086.937256,161.851188,23.40802993
2022-05-02T11:07:31.329,1140.239136,1091.05603,161.8781166,23.3858351
2022-05-02T11:07:39.880,1140.174561,1095.248779,161.9059657,23.36287348
2022-05-02T11:07:48.859,1140.295044,1098.338989,161.9324153,23.34078523
2022-05-02T11:07:57.279,1141.162842,1101.7771,161.9621923,23.31599507
2022-05-02T11:08:06.840,1141.615967,1104.547852,161.9896861,23.29319263
2022-05-02T11:08:24.149,1141.83313,1109.040405,162.0429152,23.2490294
2022-05-02T11:08:32.630,1142.155884,1111.355591,162.0690607,23.22721904
2022-05-02T11:08:49.510,1142.073853,1113.542847,162.1219316,23.18315423
2022-05-02T11:08:58.099,1141.89624,1113.311279,162.1487015,23.16081644
2022-05-02T11:09:06.529,1142.161499,1112.610229,162.1749698,23.13901687
2022-05-02T11:09:15.110,1141.996216,1110.190796,162.201329,23.11710261
2022-05-02T11:09:23.590,1142.049805,1106.862793,162.2280448,23.09470341
2022-05-02T11:09:32.160,1141.755737,1104.741699,162.2544462,23.07272795
2022-05-02T11:09:40.539,1142.043579,1102.531128,162.2807237,23.05074014
2022-05-02T11:09:49.039,1142.357422,1102.274414,162.3071668,23.02859068
2022-05-02T11:09:57.510,1141.91333,1102.044678,162.333398,23.00671095
2022-05-02T11:10:05.880,1140.978271,1103.276978,162.3600036,22.98449883
2022-05-02T11:10:14.569,1140.425415,1104.488525,162.3866188,22.96221846
2022-05-02T11:10:23.090,1140.019653,1105.675537,162.4132383,22.93981738
2022-05-02T11:10:31.639,1139.072998,1108.30896,162.4398499,22.91770435
2022-05-02T11:10:40.099,1139.280884,1111.351685,162.4665117,22.89531788
2022-05-02T11:10:48.630,1138.558716,1115.273438,162.4925598,22.8735122
2022-05-02T11:10:57.039,1138.941406,1117.876221,162.5186709,22.85155184
2022-05-02T11:11:05.590,1138.438477,1120.734619,162.5465509,22.82824967
2022-05-02T11:11:14.479,1138.102173,1120.524414,162.5747048,22.80468468
2022-05-02T11:11:23.579,1137.398682,1118.31543,162.6011464,22.78244902
2022-05-02T11:11:32.029,1136.225098,1114.58728,162.6275592,22.76015368
2022-05-02T11:11:40.599,1137.002319,1110.295654,162.654073,22.73806243
2022-05-02T11:11:48.959,1135.969238,1105.139893,162.6803748,22.7159314
2022-05-02T11:11:57.529,1135.063477,1100.856079,162.7063374,22.69390986
2022-05-02T11:12:05.829,1135.47168,1097.814087,162.7331833,22.67146431
2022-05-02T11:12:14.479,1135.373413,1099.011597,162.759553,22.64937278
2022-05-02T11:12:23.020,1134.9375,1102.208374,162.7859299,22.62707095
2022-05-02T11:12:31.489,1134.183472,1105.944946,162.8123162,22.60501437
2022-05-02T11:12:39.929,1134.013794,1108.31189,162.8384995,22.58293517
2022-05-02T11:12:48.419,1134.222656,1111.262451,162.8651042,22.5607863
2022-05-02T11:12:56.959,1133.719727,1112.654053,162.8909512,22.53864428
