Date-obs_corrected_midexp,XPOS,YPOS,RA,DEC
2022-03-03T09:51:28.360,257.3135376,258.9009399,106.86752,-21.99913325
2022-03-03T09:52:02.280,301.2648315,238.2944946,107.3890982,-21.19705258
2022-03-03T09:52:10.989,303.217804,238.902832,107.4236225,-21.16952351
2022-03-03T09:52:19.270,305.2072144,240.0613708,107.4581345,-21.14218022
2022-03-03T09:52:28.040,303.3204956,218.982666,107.4933334,-21.10843475
2022-03-03T09:52:28.040,306.3579407,240.1635742,107.492269,-21.11494797
2022-03-03T09:52:36.609,307.8483887,241.0451508,107.529532,-21.08543757
2022-03-03T09:52:46.060,309.8397522,239.6863556,107.5636014,-21.05808703
2022-03-03T09:52:54.499,311.0986938,237.0547333,107.5983351,-21.03038146
2022-03-03T09:53:03.150,312.105072,234.5303955,107.632696,-21.0030049
2022-03-03T09:53:11.979,313.5036926,231.3589325,107.6682344,-20.97462613
2022-03-03T09:53:20.889,315.0363464,229.3256226,107.7021628,-20.94749282
2022-03-03T09:53:29.389,316.0486145,227.5421753,107.7411772,-20.91619422
2022-03-03T09:53:39.169,317.0099487,228.3833923,107.7794608,-20.88557312
2022-03-03T09:53:48.779,317.6066895,231.1409607,107.8160209,-20.85623368
2022-03-03T09:53:58.099,318.0942383,235.4260712,107.8528705,-20.82673103
2022-03-03T09:54:07.460,318.9434814,239.4473114,107.8872908,-20.79908203
2022-03-03T09:54:16.020,319.8857117,241.7565155,107.9252335,-20.76843573
2022-03-03T09:54:25.720,320.6541443,242.7167053,107.9588635,-20.74124899
2022-03-03T09:54:34.260,321.384613,241.7558441,107.9936563,-20.71338311
2022-03-03T09:54:43.050,322.4934387,239.6911469,108.0294944,-20.68453853
2022-03-03T09:54:52.109,322.7758179,238.1149445,108.0633037,-20.65741946
2022-03-03T09:55:00.639,324.151947,236.2967834,108.1004245,-20.62739393
2022-03-03T09:55:10.060,324.5811768,235.6416626,108.1339382,-20.6002637
2022-03-03T09:55:18.540,325.3995056,236.1308289,108.173185,-20.56864266
2022-03-03T09:55:28.610,326.0654907,237.2458191,108.2071001,-20.54134489
2022-03-03T09:55:37.039,326.8414001,237.8488464,108.2464175,-20.50963518
2022-03-03T09:55:47.039,327.9216919,238.8765717,108.2800268,-20.48226168
2022-03-03T09:55:55.660,328.3988953,239.7932129,108.3184316,-20.45123567
2022-03-03T09:56:05.439,329.2794495,241.0422363,108.3559465,-20.42086273
2022-03-03T09:56:14.989,329.9529419,242.7385101,108.3898197,-20.39339332
2022-03-03T09:56:23.419,330.0246887,243.5939941,108.4234614,-20.36602227
