Date-obs_corrected_midexp,XPOS,YPOS,RA,DEC,RMS,RMSX,RMSY
2022-08-08T11:22:58.590,1022.253174,757.8366089,258.4494852,-40.6768213,1.93179943,1.728419527,0.862794862
2022-08-08T11:23:32.889,1019.717651,759.1868896,258.6776713,-40.70195327,2.032712595,1.345064053,1.524048289
2022-08-08T11:23:41.219,1019.004333,759.9092407,258.7362035,-40.7080292,1.791588465,1.548151903,0.901673397
2022-08-08T11:23:49.859,1017.821716,759.8391113,258.7933831,-40.71434055,2.644391786,2.106688336,1.598334187
2022-08-08T11:23:58.489,1017.424194,759.9720459,258.8516871,-40.72047272,1.525295498,1.450877493,0.470617526
2022-08-08T11:24:06.920,1017.147095,760.2095337,258.9083103,-40.72651665,2.348353292,1.773339484,1.53949026
2022-08-08T11:24:15.470,1016.342834,760.7232666,258.9651013,-40.73237214,1.939488891,1.878964232,0.480739609
2022-08-08T11:24:24.000,1016.617737,761.1082153,259.0232075,-40.73824549,1.145123049,0.969954589,0.608682918
2022-08-08T11:24:32.549,1015.642639,761.0525513,259.0797966,-40.74433321,1.917653611,1.82192898,0.598306076
2022-08-08T11:24:41.020,1015.529724,760.6613159,259.137811,-40.75035574,1.873526165,1.859250943,0.230838089
2022-08-08T11:24:49.370,1015.108704,761.1992798,259.1937935,-40.75616904,2.229067924,1.398483765,1.735795774
2022-08-08T11:24:57.900,1015.64563,761.1640625,259.2533121,-40.7622484,2.601845851,2.083405393,1.55853258
2022-08-08T11:25:06.529,1015.4245,759.9506836,259.3099456,-40.76799202,1.143975623,1.124529254,0.210033766
2022-08-08T11:25:14.880,1016.364014,758.6881104,259.3654394,-40.77414738,1.772648708,1.742003913,0.32818563
2022-08-08T11:25:23.480,1016.91449,760.0964355,259.4260828,-40.77955655,1.436589267,1.381517406,0.393952256
2022-08-08T11:25:31.930,1017.68219,759.6280518,259.4818518,-40.78524997,2.515537953,2.450624556,0.567776787
2022-08-08T11:25:40.200,1017.861328,759.2348022,259.5395494,-40.79095649,2.878219759,2.854623091,0.367798846
2022-08-08T11:25:48.779,1018.175476,757.986084,259.5955286,-40.79657193,2.083648998,2.043652421,0.406297833
2022-08-08T11:25:57.310,1018.476318,757.9789429,259.6521937,-40.80203692,1.702075209,1.593669481,0.59772703
2022-08-08T11:26:05.729,1019.397034,757.3474731,259.710072,-40.8078337,1.700344714,1.641871632,0.442074302
2022-08-08T11:26:14.060,1019.474915,756.4429321,259.7669942,-40.81348823,2.991624003,2.936799734,0.570106568
