Date-obs_corrected_midexp,XPOS,YPOS,RA,DEC,RMS,RMSX,RMSY
2022-08-08T11:26:22.730,1020.564636,755.5613403,259.8250212,-40.81905758,2.355426243,2.263032316,0.65323619
2022-08-08T11:26:31.220,1021.0354,754.4955444,259.8817666,-40.82449145,1.9011312,1.841828762,0.471133371
2022-08-08T11:26:39.679,1022.456543,754.4605713,259.9382329,-40.82988223,2.011742244,1.948719791,0.499597873
2022-08-08T11:26:48.029,1022.083923,753.6859741,259.9956767,-40.8354433,1.268014798,1.158874679,0.514656202
2022-08-08T11:26:56.539,1022.484558,753.1828003,260.0539669,-40.8409543,1.544594016,1.410090706,0.630408499
2022-08-08T11:27:05.089,1022.594666,753.0266113,260.1093582,-40.84609912,2.273393529,2.259185886,0.253766175
2022-08-08T11:27:55.999,1017.860657,749.7730713,260.4554727,-40.87799501,2.058545933,1.711988802,1.143112287
2022-08-08T11:28:12.700,1016.921509,748.8882446,260.5698197,-40.88827344,2.718535123,2.464778626,1.146865093
2022-08-08T11:28:21.169,1017.245483,748.4648438,260.6256102,-40.89332233,2.445135254,2.190621843,1.086214689
2022-08-08T11:28:29.619,1016.859375,748.1900024,260.6843003,-40.8980583,1.48367948,0.984854922,1.109669132
2022-08-08T11:28:38.050,1016.754211,747.8903809,260.7412904,-40.90364388,1.9380755,1.637186421,1.037187191
2022-08-08T11:28:46.669,1017.099304,747.7782593,260.79924,-40.90869112,1.918306711,1.641210062,0.993141565
2022-08-08T11:28:55.249,1017.391113,747.1912842,260.8569527,-40.91370687,2.528930254,2.285953814,1.081620724
2022-08-08T11:29:03.749,1016.080933,747.2800293,260.9139928,-40.91859654,2.696875711,2.429459451,1.170839603
2022-08-08T11:29:20.700,1017.428955,746.824646,261.0299916,-40.92859981,2.094505465,1.792697075,1.083139115
2022-08-08T11:29:29.200,1017.717529,746.9504395,261.0868356,-40.93349657,2.920928664,2.715806338,1.075276798
2022-08-08T11:29:37.709,1018.180237,747.7049561,261.1447717,-40.93831237,1.799143503,1.497407531,0.997340479
2022-08-08T11:29:46.010,1019.020874,746.2220459,261.2025269,-40.94319612,1.934183322,1.644037261,1.018924239
2022-08-08T11:30:03.140,1019.033569,746.7376099,261.3176025,-40.9527714,1.57195813,1.406344753,0.702315311
2022-08-08T11:30:11.540,1020.399963,746.5141602,261.3750553,-40.95754896,1.799143138,1.683233895,0.635326439
2022-08-08T11:30:19.980,1020.907166,746.5039673,261.4338409,-40.96229163,1.764077687,1.655221328,0.610092158
2022-08-08T11:30:28.459,1021.897644,746.1022949,261.4957758,-40.96733452,1.487467601,1.333689844,0.658658687
2022-08-08T11:30:46.370,1022.625366,745.8180542,261.6120138,-40.97665883,1.470537021,1.36080728,0.557389162
2022-08-08T11:30:54.919,1023.650024,745.2116699,261.6696774,-40.98116754,2.172261039,2.062607311,0.681446331
2022-08-08T11:31:03.550,1023.568848,745.2528687,261.7283028,-40.98596062,2.493132522,2.332320504,0.880903423
2022-08-08T11:31:11.950,1022.933044,744.687439,261.7856324,-40.99045639,1.762311461,1.662224737,0.585449067
2022-08-08T11:31:29.099,1021.024841,745.4266357,261.9081394,-41.00006288,1.551947147,1.314283729,0.825347338
2022-08-08T11:31:46.980,1020.327271,745.9963379,262.0230025,-41.00866518,2.053671034,1.553875418,1.342771724
2022-08-08T11:31:55.440,1019.26416,745.3974609,262.0809501,-41.013131,2.237969629,1.719464361,1.432463043
2022-08-08T11:32:03.950,1018.834656,745.819519,262.137993,-41.01740802,2.321554789,1.787761222,1.481055858
2022-08-08T11:32:12.460,1017.808777,745.1766968,262.1950158,-41.02180408,2.702577772,2.581873292,0.798659447
2022-08-08T11:32:20.970,1017.530579,745.0786133,262.2539878,-41.02601443,1.8484387,1.278631603,1.334850872
2022-08-08T11:32:37.940,1017.06134,744.6636963,262.3690433,-41.03443513,2.397463151,1.833757975,1.544396727
2022-08-08T11:32:46.260,1017.736084,744.5983276,262.4259946,-41.03854011,2.230967885,1.705694551,1.437992977
2022-08-08T11:33:11.739,1017.148438,745.2271729,262.5997612,-41.05095852,1.592299735,0.598531612,1.475526468
2022-08-08T11:33:37.099,1019.35791,744.7425537,262.7732047,-41.06329717,2.150120587,1.874572503,1.053089013
2022-08-08T11:33:45.560,1019.667603,745.4624634,262.8305827,-41.06702543,2.208413922,2.027525886,0.875346122
2022-08-08T11:33:54.139,1019.82666,744.885437,262.8884929,-41.07097467,2.646153924,2.173237271,1.509692138
2022-08-08T11:34:02.469,1020.393677,744.7396851,262.9500896,-41.07531509,1.937410577,1.923212726,0.234120819
2022-08-08T11:34:11.640,1020.767517,744.6358643,263.0086275,-41.07919093,1.733164738,1.676282737,0.440381872
2022-08-08T11:35:19.680,1022.432129,744.5961914,263.4723391,-41.10915967,2.704562925,2.326258256,1.379559039
2022-08-08T11:35:28.090,1021.468994,744.7195435,263.529935,-41.11282413,2.243606372,1.92379464,1.154462532
2022-08-08T11:35:45.289,1019.787659,744.9766846,263.6461751,-41.11968744,2.372564234,1.804938101,1.539889443
2022-08-08T11:36:19.119,1017.530762,744.2139893,263.8779667,-41.13375741,2.186686094,1.472045739,1.616996417
2022-08-08T11:37:27.840,1019.083618,743.5444946,264.3481848,-41.16009405,2.783047161,2.457260878,1.306606475
