Date-obs_corrected_midexp,XPOS,YPOS,RA,DEC
2022-05-02T10:50:56.679,984.3875122,732.8624878,149.871592,-39.89780419
2022-05-02T10:50:39.569,984.6569214,730.944519,149.7630764,-39.87280376
2022-05-02T10:46:10.649,984.6712036,732.7606812,148.0608407,-39.46411348
2022-05-02T10:45:53.429,984.8534546,732.5305786,147.9529295,-39.43714582
2022-05-02T10:41:24.689,984.8790283,726.9169922,146.2759918,-39.00117909
2022-05-02T10:51:31.980,984.9408569,732.960083,150.0975362,-39.949378
2022-05-02T10:55:34.650,984.9848633,729.8626709,151.6557719,-40.29050266
2022-05-02T10:55:43.130,985.0067139,729.9764404,151.7107266,-40.30204883
2022-05-02T10:46:27.829,985.0131836,733.5177002,148.168835,-39.49092159
2022-05-02T10:56:01.209,985.0452881,730.0592041,151.8273158,-40.32651941
2022-05-02T10:41:07.510,985.0546875,727.5202026,146.1698542,-38.9725991
2022-05-02T10:55:17.399,985.0586548,729.2214355,151.5460991,-40.26736154
2022-05-02T10:55:51.569,985.0631104,729.8297729,151.7732766,-40.31519307
2022-05-02T10:30:28.009,985.0939331,740.3140869,142.2812626,-37.8338528
2022-05-02T10:30:19.459,985.2741089,740.5216675,142.2301107,-37.81772601
2022-05-02T10:55:26.049,985.2809448,729.2971802,151.6013884,-40.27903878
2022-05-02T10:46:45.389,985.2988281,734.5796509,148.2793414,-39.51831698
2022-05-02T10:35:56.150,985.309021,744.1452637,144.259369,-38.43505696
2022-05-02T10:30:10.940,985.413269,740.5795898,142.1786397,-37.80143658
2022-05-02T10:50:13.229,985.4258423,727.2266846,149.5997605,-39.83495286
2022-05-02T10:40:41.029,985.427063,731.4849243,146.0052395,-38.92790568
2022-05-02T10:55:08.790,985.4588623,728.3556519,151.4900479,-40.25543883
2022-05-02T10:40:58.029,985.5438843,728.4263306,146.1171945,-38.95834639
2022-05-02T10:56:09.790,985.6283569,730.3916626,151.8851288,-40.3385242
2022-05-02T10:30:45.090,985.6437378,740.6853638,142.3836779,-37.86613091
2022-05-02T10:35:30.549,985.7094727,743.7837524,144.1031963,-38.38928148
2022-05-02T10:40:32.500,985.7162476,733.0873413,145.9537137,-38.91383687
2022-05-02T10:36:04.680,985.7250366,743.3168335,144.31078,-38.45005314
2022-05-02T10:36:13.020,985.7432861,741.9065552,144.3627464,-38.46522839
2022-05-02T10:45:36.510,985.7471924,732.0218506,147.84596,-39.41019691
2022-05-02T10:41:41.719,985.7796631,727.767334,146.3819706,-39.02970522
2022-05-02T10:55:00.289,985.7946167,728.137207,151.4344186,-40.24363696
2022-05-02T10:17:52.260,985.8463135,749.0333862,137.868611,-36.32288354
2022-05-02T10:54:51.520,985.8861084,727.6137695,151.3791413,-40.23183119
2022-05-02T10:17:43.719,985.9799805,748.8852539,137.8204291,-36.30508095
2022-05-02T10:18:00.889,985.9991455,748.7749023,137.9170538,-36.34075933
2022-05-02T10:30:53.709,986.0176392,741.1316528,142.433684,-37.88180814
2022-05-02T10:17:17.489,986.0671997,750.2270508,137.6706721,-36.24944587
2022-05-02T10:35:39.029,986.0764771,744.7359619,144.1541129,-38.40420797
2022-05-02T10:10:56.480,986.0947266,758.1799316,135.5337633,-35.4244138
2022-05-02T10:31:02.000,986.1021729,741.7096558,142.4842616,-37.89768917
2022-05-02T10:47:02.489,986.1055298,735.1530762,148.386333,-39.54466069
2022-05-02T10:41:50.319,986.1225586,728.8704224,146.434681,-39.04380476
2022-05-02T10:17:26.119,986.1289063,749.1761475,137.7228004,-36.26882675
2022-05-02T10:10:47.069,986.1366577,759.4973755,135.4797732,-35.40281898
2022-05-02T10:18:26.669,986.1481934,750.4937134,138.0680834,-36.39639158
2022-05-02T10:29:36.230,986.1680298,744.1098022,141.9738544,-37.73629994
2022-05-02T10:02:18.529,986.1680908,759.9752197,132.6974178,-34.23617823
2022-05-02T10:41:58.840,986.1708374,730.5783691,146.4902874,-39.0586837
2022-05-02T10:17:35.249,986.1715698,748.8225708,137.7712289,-36.28679586
2022-05-02T10:18:09.470,986.177124,749.2531128,137.9674633,-36.35938333
2022-05-02T10:11:06.210,986.1895752,756.9569702,135.581405,-35.44347775
2022-05-02T10:29:45.300,986.2098999,742.9862671,142.0274073,-37.75336836
2022-05-02T10:18:18.180,986.230896,749.7368774,138.0160644,-36.37728386
2022-05-02T10:36:30.459,986.2507324,739.6592407,144.4667978,-38.49543643
2022-05-02T10:29:53.980,986.3111572,742.6720581,142.0778674,-37.76942041
