Date-obs_corrected_midexp,XPOS,YPOS,RA,DEC
2022-03-02T10:33:10.489,172.3987732,125.9372482,115.7350892,-14.0119876
2022-03-02T10:33:18.889,176.0194244,127.443306,115.7655858,-13.98389385
2022-03-02T10:33:27.419,179.1803589,131.005188,115.7969297,-13.9547717
2022-03-02T10:33:36.150,182.3186188,135.6228027,115.8278204,-13.92619919
2022-03-02T10:33:45.029,185.1576538,139.1386871,115.860096,-13.89628038
2022-03-02T10:33:54.050,187.4141541,141.5779266,115.89147,-13.86726412
2022-03-02T10:34:03.050,189.2443848,141.6645966,115.921465,-13.83935306
2022-03-02T10:34:20.180,193.0172729,138.7646179,115.9825559,-13.7825701
2022-03-02T10:34:28.759,194.6233826,137.37323,116.0129584,-13.7543588
2022-03-02T10:35:47.929,205.854538,156.8674774,116.2917044,-13.4946208
2022-03-02T10:35:56.410,206.9667664,157.0978394,116.3212723,-13.46689038
2022-03-02T10:36:04.830,207.6678772,157.5546722,116.3516374,-13.43864605
2022-03-02T10:36:13.409,208.6748505,156.1987457,116.3819667,-13.41020278
2022-03-02T10:36:22.060,208.9442291,153.9491425,116.4122494,-13.38206096
2022-03-02T10:36:30.570,210.2900391,151.0621796,116.4418652,-13.3542971
2022-03-02T10:36:38.959,211.0265503,148.3757629,116.4716641,-13.32636949
2022-03-02T10:37:07.510,183.414917,141.0680542,116.5580591,-13.28153174
2022-03-02T10:37:07.510,191.3447266,276.171875,116.5551246,-13.32310239
2022-03-02T10:38:51.279,209.8681793,154.1825256,116.9347844,-12.89130653
2022-03-02T10:38:59.730,212.5676117,154.9404144,116.9645167,-12.86319971
2022-03-02T10:39:08.380,214.532547,155.9953461,116.9944766,-12.83489697
2022-03-02T10:39:16.780,216.5030365,156.4797211,117.0242737,-12.80640954
2022-03-02T10:39:25.310,218.1161652,158.6773834,117.0539909,-12.77869765
2022-03-02T10:39:33.900,219.5219879,159.9930267,117.0840024,-12.75041515
2022-03-02T10:39:42.510,220.9376984,161.2437744,117.1134807,-12.72257156
2022-03-02T10:39:50.910,222.5065308,161.4934082,117.1436545,-12.69395539
2022-03-02T10:39:59.650,223.6351776,161.6522522,117.1734614,-12.66587949
2022-03-02T10:40:08.189,224.5237274,160.1877747,117.2030597,-12.63789113
2022-03-02T10:40:16.819,225.5125427,157.2290649,117.2326443,-12.60979833
2022-03-02T10:40:25.110,226.7224731,155.0311279,117.2622761,-12.58177942
2022-03-02T10:40:33.819,227.2601471,152.288269,117.2921594,-12.55350784
2022-03-02T10:40:42.319,228.1289063,149.7205658,117.3260438,-12.52127282
2022-03-02T10:40:51.989,228.924118,150.021637,117.3551475,-12.49370994
2022-03-02T10:41:00.489,229.3587799,151.8856659,117.384669,-12.46575989
2022-03-02T10:41:08.960,230.16716,155.9542847,117.4179942,-12.43413409
2022-03-02T10:41:18.630,231.2841644,161.0217743,117.4508674,-12.40284532
2022-03-02T10:41:28.200,231.5089722,164.0417786,117.4824686,-12.37284141
2022-03-02T10:41:37.160,231.9683075,165.5281219,117.5125989,-12.34420343
2022-03-02T10:41:45.789,232.4434052,165.5789948,117.5417575,-12.31649113
2022-03-02T10:41:54.249,233.1461639,164.1008911,117.5712455,-12.28851383
2022-03-02T10:42:02.689,233.4414978,162.6872559,117.6007587,-12.26046169
2022-03-02T10:42:11.409,234.0457764,160.7419128,117.6309106,-12.231758
2022-03-02T10:42:20.139,234.5002899,159.4606476,117.6600275,-12.20401343
2022-03-02T10:42:28.570,234.8860626,159.7829895,117.6899513,-12.17554575
2022-03-02T10:42:37.010,235.6313782,160.7745056,117.7216852,-12.14531119
2022-03-02T10:42:46.400,236.4386749,161.5140686,117.7508898,-12.11746989
2022-03-02T10:42:54.900,236.7961121,162.9708405,117.7806225,-12.08909
2022-03-02T10:43:03.399,237.3193207,164.8672333,117.8104644,-12.06072871
2022-03-02T10:43:11.870,237.3708801,165.9618378,117.8420336,-12.03051706
2022-03-02T10:43:21.040,237.8818817,167.0724792,117.8749791,-11.99905667
2022-03-02T10:43:30.970,238.7553558,168.7128601,117.9047662,-11.97045356
2022-03-02T10:43:39.349,239.1430969,169.5101776,117.9341984,-11.94227846
2022-03-02T10:43:48.069,239.7805634,169.4601593,117.9638941,-11.91393389
2022-03-02T10:43:56.529,240.0758362,168.4972076,117.9934164,-11.88571604
2022-03-02T10:44:05.000,240.4297485,166.4711151,118.0231942,-11.85719729
2022-03-02T10:44:13.579,234.8290253,170.1321716,118.0521849,-11.82944484
2022-03-02T10:44:22.130,237.1765442,166.736145,118.081449,-11.80144039
2022-03-02T10:44:30.540,238.3122406,164.4911499,118.1108218,-11.77316357
2022-03-02T10:44:38.959,239.817276,163.9382935,118.1436871,-11.74179832
2022-03-02T10:44:48.620,240.6128693,165.4641571,118.1727039,-11.71390348
2022-03-02T10:44:57.239,241.3682556,168.807312,118.2023782,-11.68549339
2022-03-02T10:45:05.880,241.9025421,172.607666,118.2318124,-11.65713108
2022-03-02T10:45:14.349,243.0925293,176.5644379,118.2606176,-11.6295448
2022-03-02T10:45:22.820,244.0567017,178.9576721,118.2912933,-11.60008455
2022-03-02T10:45:31.680,244.7204437,179.330307,118.3204866,-11.57211584
2022-03-02T10:45:40.289,245.3551025,178.4221497,118.3508978,-11.54282372
2022-03-02T10:45:49.270,245.9875946,176.7249756,118.380163,-11.5147662
2022-03-02T10:45:57.590,247.3205414,174.0886078,118.4136729,-11.48238353
2022-03-02T10:46:07.430,248.2888794,173.0152435,118.443052,-11.4541019
2022-03-02T10:46:15.899,249.1059723,172.6483917,118.4721829,-11.42606565
2022-03-02T10:46:24.389,249.8036041,173.1963806,118.5010303,-11.39817008
2022-03-02T10:46:32.880,250.8510284,174.1745453,118.5301281,-11.3702727
2022-03-02T10:46:41.419,251.206543,175.5648956,118.5597807,-11.34167626
2022-03-02T10:46:49.870,252.1113892,177.0632629,118.5882401,-11.31424689
2022-03-02T10:46:58.450,252.9529877,178.731308,118.6171823,-11.28633597
2022-03-02T10:47:06.939,253.3136292,179.1852417,118.647194,-11.25725918
2022-03-02T10:47:24.200,254.7625275,182.2628784,118.7053695,-11.20111856
2022-03-02T10:47:32.739,255.3428497,183.1105042,118.7344346,-11.17300466
2022-03-02T10:47:41.279,256.6092529,182.0853882,118.7644501,-11.1440107
2022-03-02T10:47:49.870,257.4760437,181.1385498,118.7934719,-11.11594891
2022-03-02T10:47:58.349,257.6991882,178.0766449,118.8227068,-11.08760354
2022-03-02T10:48:07.000,159.7470551,294.9570618,118.8839447,-11.09511662
2022-03-02T10:48:07.000,258.5435181,175.3681946,118.8533324,-11.05800528
2022-03-02T10:48:15.979,259.5795898,172.577713,118.8826574,-11.02965788
2022-03-02T10:48:24.730,254.42836,170.4363708,118.914007,-11.00089442
2022-03-02T10:48:33.189,260.8764954,171.4876556,118.9414296,-10.97279904
2022-03-02T10:48:41.959,261.8158264,173.9208221,118.9726563,-10.94249185
2022-03-02T10:48:51.400,262.7827148,177.9477386,119.0020966,-10.91389472
2022-03-02T10:48:59.679,263.4061279,182.2270355,119.0312233,-10.88558718
2022-03-02T10:49:08.369,264.5276184,185.6089935,119.0624218,-10.85537419
2022-03-02T10:49:17.489,265.5153198,187.2552338,119.0913172,-10.82726066
2022-03-02T10:49:25.849,265.9094849,186.66716,119.1202588,-10.79919601
2022-03-02T10:49:34.359,266.3447876,185.0914307,119.1493372,-10.77108377
2022-03-02T10:49:43.029,267.477356,183.516098,119.1787956,-10.74245816
2022-03-02T10:49:51.410,268.0353394,181.5934601,119.2082126,-10.71375405
2022-03-02T10:50:00.330,269.0931396,180.6592865,119.2384746,-10.68433025
2022-03-02T10:50:09.250,269.5349426,180.7932281,119.2677179,-10.65591375
2022-03-02T10:50:17.779,270.4017639,181.7697754,119.2965991,-10.62775941
2022-03-02T10:50:26.360,271.1920471,182.5792542,119.3252825,-10.59982496
2022-03-02T10:50:34.730,271.5805664,184.461441,119.3587217,-10.56724855
2022-03-02T10:50:44.679,272.1080627,186.1087189,119.387328,-10.53939694
2022-03-02T10:50:53.260,272.930481,187.175415,119.4163394,-10.51101364
2022-03-02T10:51:01.750,273.4398193,188.2757874,119.4447849,-10.48332298
2022-03-02T10:51:10.370,274.3352966,190.2570648,119.4734766,-10.45532469
2022-03-02T10:51:18.790,274.8380127,191.0903778,119.5031017,-10.42643081
2022-03-02T10:51:27.459,275.4057922,190.8759766,119.5322213,-10.39802279
2022-03-02T10:51:35.959,276.4755249,189.9381256,119.5609846,-10.36986849
2022-03-02T10:51:44.580,276.6629944,187.5793762,119.5900474,-10.34150964
2022-03-02T10:51:52.840,277.1283569,185.732132,119.6189951,-10.31325783
2022-03-02T10:52:01.850,278.3632507,182.6989136,119.6521313,-10.2808368
2022-03-02T10:52:11.499,278.4888,180.4528046,119.6813259,-10.25231653
2022-03-02T10:52:20.239,279.2292786,179.9844208,119.7095573,-10.22457654
2022-03-02T10:52:28.849,279.7480164,182.0442505,119.7388789,-10.19584549
2022-03-02T10:52:37.130,280.0614624,185.3977203,119.7678497,-10.16757479
2022-03-02T10:52:45.870,280.5751648,189.4207611,119.7964116,-10.13952711
2022-03-02T10:52:54.319,281.0717773,193.1643677,119.8248637,-10.11164207
2022-03-02T10:53:02.729,272.4034729,203.9447937,119.8541381,-10.08305088
2022-03-02T10:53:11.429,274.7237244,203.6799774,119.8828893,-10.05466995
2022-03-02T10:53:20.009,275.6083069,202.5382996,119.9120299,-10.02614404
2022-03-02T10:53:28.639,276.5827637,200.8377075,119.9410234,-9.997820201
