Date-obs_corrected_midexp,XPOS,YPOS,RA,DEC
2022-03-09T10:21:58.419,990.2698364,816.3634644,119.3611907,-10.48703234
2022-03-09T10:22:06.970,990.3537598,814.130127,119.3895812,-10.45935328
2022-03-09T10:22:24.320,990.2528076,813.8372803,119.4491092,-10.40137566
2022-03-09T10:22:32.880,990.499939,815.166748,119.4774152,-10.3737299
2022-03-09T10:22:41.370,990.4614258,819.2387085,119.5071808,-10.34466682
2022-03-09T10:22:50.169,990.4544067,823.2949219,119.5358898,-10.31653694
2022-03-09T10:22:58.730,990.3952637,825.5314331,119.5651906,-10.2880001
2022-03-09T10:23:16.610,990.5033569,825.1811523,119.625776,-10.22868538
2022-03-09T10:23:25.349,990.4753418,824.0092773,119.65471,-10.20034863
2022-03-09T10:23:33.999,990.6141968,821.4502563,119.6865465,-10.169234
2022-03-09T10:23:43.249,990.7632446,819.4945679,119.715284,-10.14119446
2022-03-09T10:23:51.880,991.0603027,818.3739014,119.7461601,-10.11090585
2022-03-09T10:24:01.010,991.4212646,818.5790405,119.7742668,-10.08338015
2022-03-09T10:24:09.460,990.8952026,819.2172241,119.8031759,-10.0550799
2022-03-09T10:24:17.860,990.7739868,819.4370728,119.83157,-10.02728428
2022-03-09T10:24:26.439,990.7249146,820.3800049,119.8640241,-9.995398858
2022-03-09T10:24:35.999,990.6291504,821.6868286,119.8926656,-9.967372419
2022-03-09T10:24:44.590,990.5426025,822.2904663,119.9222723,-9.938206091
2022-03-09T10:24:53.190,990.4584351,823.2700195,119.9502057,-9.910909736
2022-03-09T10:25:01.550,990.6132813,824.6105957,119.9787572,-9.882874561
2022-03-09T10:25:10.120,990.2636108,825.4080811,120.0074249,-9.854688704
2022-03-09T10:25:18.560,990.4369507,824.249939,120.035975,-9.826644558
2022-03-09T10:25:27.079,990.5015259,822.5015869,120.0642914,-9.798871492
2022-03-09T10:25:44.099,990.6178589,816.9100952,120.1213428,-9.74266154
2022-03-09T10:26:01.080,990.3709106,811.5959473,120.1782338,-9.686618873
2022-03-09T10:26:09.550,990.3789673,811.2313843,120.2064756,-9.658871455
2022-03-09T10:26:17.889,990.5629883,812.8502808,120.2349799,-9.630771556
2022-03-09T10:26:26.509,990.3699951,815.6090088,120.2634661,-9.602776112
2022-03-09T10:26:34.980,990.5900879,820.0231934,120.2918384,-9.574700786
2022-03-09T10:26:43.480,990.8773804,823.1613159,120.3236288,-9.54328913
2022-03-09T10:26:52.840,991.0686035,825.0653687,120.3520078,-9.515206689
2022-03-09T10:27:01.410,991.0443726,825.4872437,120.3839951,-9.483708815
2022-03-09T10:27:10.149,991.1251831,823.8885498,120.4136061,-9.454588458
2022-03-09T10:27:19.579,991.1224976,821.4511108,120.4452018,-9.423267389
2022-03-09T10:27:29.259,991.1430054,819.1952515,120.4736718,-9.395258847
2022-03-09T10:27:37.789,990.6781006,817.668396,120.5020371,-9.367242539
2022-03-09T10:27:46.310,991.6246338,817.6946411,120.5310911,-9.338507137
2022-03-09T10:27:54.910,991.9511108,817.7317505,120.55909,-9.310660699
2022-03-09T10:28:03.339,991.9828491,818.4294434,120.5876741,-9.282531679
2022-03-09T10:28:11.780,992.4332886,819.5081787,120.6158301,-9.254557146
2022-03-09T10:28:20.360,991.9087524,820.7171631,120.6440924,-9.226772403
2022-03-09T10:28:28.799,992.7297974,821.5447388,120.6728287,-9.198228451
2022-03-09T10:28:37.410,992.9321899,822.9829712,120.7011345,-9.170073374
2022-03-09T10:28:45.950,992.9003296,823.9173584,120.7292641,-9.142302145
2022-03-09T10:28:54.370,992.9685669,824.8271484,120.7579552,-9.113688756
2022-03-09T10:29:02.900,996.510498,826.4262695,120.7852254,-9.086252778
2022-03-09T10:29:11.429,993.715271,825.1432495,120.8144937,-9.057852798
2022-03-09T10:29:19.869,994.1439819,822.7764893,120.8433015,-9.029168713
2022-03-09T10:29:28.459,994.1431885,819.9406738,120.8718806,-9.000898798
2022-03-09T10:29:37.109,995.1691284,816.6575317,120.8999642,-8.97302524
2022-03-09T10:29:45.560,995.1773071,813.9381104,120.9281002,-8.945024854
2022-03-09T10:29:54.090,995.3005981,812.0518188,120.9565259,-8.916755885
2022-03-09T10:30:02.640,995.9384766,812.2428589,120.9853539,-8.888144084
2022-03-09T10:30:11.179,996.0070801,814.1307983,121.0136248,-8.860059787
2022-03-09T10:30:19.720,996.2078247,817.9309082,121.0424271,-8.83143809
2022-03-09T10:30:28.310,996.0892334,821.800415,121.0700796,-8.804076199
2022-03-09T10:30:36.749,996.7912598,824.538147,121.0987088,-8.775507238
2022-03-09T10:30:45.419,996.8817749,826.1637573,121.126857,-8.747425142
2022-03-09T10:30:53.889,997.5187378,826.0731201,121.1549649,-8.719727063
2022-03-09T10:31:02.350,997.8505859,824.2588501,121.1830465,-8.691327151
2022-03-09T10:31:10.770,998.2468262,822.4476929,121.2120292,-8.662627073
2022-03-09T10:31:19.520,998.7784424,820.6412354,121.239821,-8.634923639
2022-03-09T10:31:27.919,998.9307251,818.7877197,121.2677482,-8.607078804
2022-03-09T10:31:36.419,999.4328003,818.1676025,121.2961136,-8.578618247
2022-03-09T10:31:44.999,999.7594604,818.6820068,121.324196,-8.550665773
2022-03-09T10:31:53.469,1000.039673,819.4672241,121.3522369,-8.522721709
2022-03-09T10:32:02.030,1000.136353,820.1563721,121.3802385,-8.494816071
2022-03-09T10:32:10.460,1000.384766,821.3195801,121.4087652,-8.466314202
2022-03-09T10:32:19.079,1000.485596,821.8071289,121.4372682,-8.437776099
2022-03-09T10:32:27.700,1000.768311,823.1716919,121.4659578,-8.409088488
2022-03-09T10:32:36.310,1000.801819,824.3988647,121.4945562,-8.380533074
2022-03-09T10:32:44.900,1000.887207,824.5861816,121.5222291,-8.35290392
2022-03-09T10:32:53.310,1001.487061,825.0120239,121.5503822,-8.324821665
2022-03-09T10:33:01.860,1001.530334,824.1743164,121.578055,-8.297085632
2022-03-09T10:33:10.179,1001.695129,822.9216919,121.6061729,-8.268978582
2022-03-09T10:33:18.869,1002.026062,819.6813965,121.634824,-8.240349129
2022-03-09T10:33:27.459,1001.619141,816.3392334,121.6625361,-8.212602173
2022-03-09T10:33:35.889,1002.615173,813.6043091,121.690435,-8.184519886
2022-03-09T10:33:44.370,1002.20105,812.2391357,121.7184986,-8.156379837
2022-03-09T10:33:52.789,1002.375122,811.8603516,121.7466691,-8.128267926
2022-03-09T10:34:01.370,1002.148315,814.5766602,121.7751488,-8.099872097
2022-03-09T10:34:09.839,1002.159729,817.5443726,121.8020458,-8.072584533
2022-03-09T10:34:18.450,1002.163208,821.5358276,121.8304892,-8.044084799
2022-03-09T10:34:26.950,1002.339844,824.4973145,121.8585758,-8.015951295
2022-03-09T10:34:35.529,1002.169922,826.0773926,121.8868037,-7.987661155
2022-03-09T10:34:44.020,1002.273071,825.9002075,121.914698,-7.95981741
2022-03-09T10:34:52.679,1000.026917,827.5150146,121.9431916,-7.931155831
2022-03-09T10:35:01.230,1000.734619,824.8406982,121.9729161,-7.901230473
2022-03-09T10:35:10.149,1001.122925,823.3278809,122.000851,-7.873142562
2022-03-09T10:35:18.570,1001.220093,821.390625,122.0288252,-7.845251129
2022-03-09T10:35:27.259,1000.598816,820.6765137,122.0563969,-7.816761891
2022-03-09T10:35:35.700,1001.168518,821.2704468,122.0848143,-7.788776811
2022-03-09T10:35:44.200,1001.123474,821.2238159,122.1128815,-7.760491956
2022-03-09T10:35:52.810,1001.302856,822.8180542,122.1410441,-7.732178728
2022-03-09T10:36:01.279,1001.044861,824.1824341,122.1687641,-7.704340077
2022-03-09T10:36:09.860,1001.563721,824.4763794,122.1967123,-7.675999056
2022-03-09T10:36:18.340,1001.248535,825.9102783,122.2250061,-7.647697172
2022-03-09T10:36:26.939,1001.283691,826.8308716,122.252852,-7.619667415
2022-03-09T10:36:35.349,1001.350769,827.5611572,122.2804143,-7.591852119
