Date-obs_corrected_midexp,XPOS,YPOS,RA,DEC,,,,,
2022-03-02T11:57:43.810,1099.941162,961.2605591,104.0741332,5.871608074,,,,,
2022-03-02T11:57:52.410,1099.992676,960.9191284,104.1097435,5.871595269,,,,,
2022-03-02T11:58:00.779,1099.716797,961.4259033,104.1453712,5.87177545,,,,,
2022-03-02T11:58:09.440,1100.182861,961.5913696,104.1810226,5.871909748,,,,,
2022-03-02T11:58:17.889,1099.564941,961.576416,104.2163832,5.871898104,,,,,
2022-03-02T11:58:26.410,1100.097778,961.5456543,104.2518982,5.872020102,,,,,
2022-03-02T11:58:34.940,1100.176636,960.9457397,104.287537,5.871892108,,,,,
2022-03-02T11:58:51.889,1100.049561,961.2313843,104.3591718,5.872058045,,,,,
2022-03-02T11:59:00.620,1100.127441,961.8178711,104.394777,5.872245996,,,,,
2022-03-02T11:59:09.199,1100.164795,962.0408325,104.4306215,5.872406737,,,,,
2022-03-02T11:59:17.739,1100.401978,961.7495728,104.4664377,5.872385278,,,,,
2022-03-02T11:59:34.929,1099.920288,961.4780884,104.5379717,5.872601669,,,,,
2022-03-02T11:59:43.359,1100.750854,961.6025391,104.5739635,5.872644817,,,,,
2022-03-02T11:59:52.029,1100.411865,961.1192017,104.609421,5.872703811,,,,,
2022-03-02T12:00:00.560,1100.199463,960.9445801,104.6447569,5.87268707,,,,,
2022-03-02T12:00:08.989,1100.187012,961.4155884,104.6802458,5.872889538,,,,,
2022-03-02T12:00:17.459,1099.941528,961.5578003,104.7160964,5.87296737,,,,,
2022-03-02T12:00:26.119,1100.573364,961.4692993,104.7518296,5.8730516,,,,,
2022-03-02T12:00:34.560,1100.358521,961.2213745,104.7873101,5.87305112,,,,,
2022-03-02T12:00:43.090,1100.40979,961.2800293,104.8229423,5.873141124,,,,,
2022-03-02T12:00:51.520,1100.036743,961.1445313,104.8585462,5.873219703,,,,,
2022-03-02T12:01:00.190,1100.250732,961.4837646,104.8942291,5.873451738,,,,,
2022-03-02T12:01:08.579,1100.392822,961.0206299,104.929406,5.873443845,,,,,
2022-03-02T12:01:17.200,1099.934082,960.7218018,104.9653044,5.873417755,,,,,
2022-03-02T12:01:25.739,1099.68042,961.0213013,105.0010792,5.873611248,,,,,
2022-03-02T12:01:34.270,1099.980957,961.0128784,105.0364236,5.873668925,,,,,
2022-03-02T12:01:42.669,1099.873047,960.8294067,105.0724684,5.873724288,,,,,
2022-03-02T12:01:51.359,1100.108765,960.4813843,105.107924,5.873692561,,,,,
2022-03-02T12:01:59.889,1099.371338,960.498291,105.1430562,5.873763728,,,,,
2022-03-02T12:02:08.470,1100.349243,960.512207,105.1787836,5.873882362,,,,,
2022-03-02T12:02:16.739,1099.966309,961.0830078,105.2141725,5.874077227,,,,,
2022-03-02T12:02:25.279,1100.687012,960.8713379,105.2496515,5.87399617,,,,,
2022-03-02T12:02:33.749,1100.518921,960.3358765,105.2861713,5.874008521,,,,,
2022-03-02T12:02:42.609,1100.168579,961.2454834,105.3215024,5.874349148,,,,,
2022-03-02T12:02:50.950,1100.146606,960.843811,105.3566339,5.874291172,,,,,
2022-03-02T12:02:59.429,1100.727173,960.4414673,105.3925741,5.874381869,,,,,
2022-03-02T12:03:08.079,1099.656738,960.3500366,105.4285131,5.874435732,,,,,
2022-03-02T12:03:16.690,1100.36853,960.3209839,105.4640672,5.874443889,,,,,
2022-03-02T12:03:25.090,1100.597412,961.1021729,105.4994988,5.874637504,,,,,
2022-03-02T12:03:33.560,1100.23999,960.487915,105.5355186,5.874654817,,,,,
2022-03-02T12:03:42.150,1100.083008,960.7963867,105.5711945,5.874647187,,,,,
2022-03-02T12:03:50.760,1099.954834,961.1362915,105.6068621,5.874909784,,,,,
2022-03-02T12:03:59.380,1100.522949,960.871521,105.642843,5.87485759,,,,,
2022-03-02T12:04:07.899,1100.370483,961.1123047,105.6781532,5.874997054,,,,,
2022-03-02T12:04:16.300,1100.419922,960.7443237,105.714176,5.874958599,,,,,
2022-03-02T12:04:24.939,1100.382935,960.9672852,105.7526232,5.875112487,,,,,
2022-03-02T12:04:34.400,1100.303589,960.6825562,105.7881788,5.875126833,,,,,
2022-03-02T12:04:42.719,1100.384277,960.7832031,105.8238183,5.875382431,,,,,
2022-03-02T12:04:51.349,1100.113525,960.9713135,105.8599886,5.875375564,,,,,
2022-03-02T12:04:59.969,1100.4021,961.4361572,105.8952282,5.875625353,,,,,
2022-03-02T12:05:08.399,1100.519531,960.7062378,105.9309057,5.875530275,,,,,
2022-03-02T12:05:16.749,1100.778442,960.5008545,105.9664861,5.875449432,,,,,
2022-03-02T12:05:25.430,1100.312012,960.8064575,106.0025214,5.875671781,,,,,
2022-03-02T12:05:34.090,1100.834717,960.0964355,106.0383976,5.875633341,,,,,
2022-03-02T12:05:42.730,1100.694214,960.8563232,106.0745064,5.875867169,,,,,
2022-03-02T12:05:51.380,1101.000244,960.2970581,106.1105784,5.875760079,,,,,
2022-03-02T12:05:59.910,1101.050781,960.3363037,106.1463303,5.875842287,,,,,
2022-03-02T12:06:08.420,1100.297119,960.6559448,106.1816472,5.876025125,,,,,
2022-03-02T12:06:16.970,1100.542236,961.0859985,106.21745,5.876259169,,,,,
2022-03-02T12:06:25.540,1100.69812,960.4598999,106.2534411,5.876134269,,,,,
2022-03-02T12:06:34.219,1100.261353,960.7197876,106.2888707,5.876301348,,,,,
2022-03-02T12:06:42.599,1100.549683,961.0144653,106.3248033,5.876424519,,,,,
2022-03-02T12:06:51.090,1102.058838,961.1954956,106.3606383,5.876477628,,,,,
2022-03-02T12:06:59.749,1100.945435,960.7805176,106.3964811,5.876565465,,,,,
2022-03-02T12:07:08.250,1100.885254,960.609314,106.4319526,5.876565767,,,,,
2022-03-02T12:07:16.909,1100.768799,960.6471558,106.467654,5.876719285,,,,,
2022-03-02T12:07:25.500,1100.950073,960.5783691,106.5034261,5.87674723,,,,,
2022-03-02T12:07:33.999,1100.69043,960.4758911,106.5389849,5.87678995,,,,,
2022-03-02T12:07:42.480,1100.679565,960.5719604,106.5745681,5.876861579,,,,,
2022-03-02T12:07:50.999,1100.326416,960.5870361,106.6102487,5.876935077,,,,,
2022-03-02T12:07:59.539,1100.623779,961.0055542,106.6472244,5.877131326,,,,,
2022-03-02T12:08:08.369,1100.825928,960.088562,106.6828199,5.877087353,,,,,
2022-03-02T12:08:16.950,1100.582886,960.1014404,106.7187321,5.877201315,,,,,
2022-03-02T12:08:25.509,1100.933105,960.3416138,106.7547186,5.877271353,,,,,
2022-03-02T12:08:34.190,1100.092285,960.0743408,106.7899793,5.87732066,,,,,
2022-03-02T12:08:42.569,1100.810303,960.7062988,106.8258883,5.877404899,,,,,
2022-03-02T12:08:51.190,1100.368286,960.9225464,106.8615601,5.87754027,,,,,
2022-03-02T12:08:59.690,1100.726929,960.4124756,106.897316,5.877539731,,,,,
2022-03-02T12:09:08.220,1100.630615,960.3451538,106.9326657,5.877658914,,,,,
2022-03-02T12:09:16.690,1100.750122,960.4047241,106.9680082,5.877733938,,,,,
2022-03-02T12:09:25.040,1100.632568,960.3303833,107.0032709,5.877777259,,,,,
2022-03-02T12:09:33.599,1100.589111,960.4170532,107.039261,5.877908745,,,,,
2022-03-02T12:09:42.279,1100.664795,960.289917,107.0752368,5.87793744,,,,,
2022-03-02T12:09:50.849,1101.029175,960.4053345,107.1108143,5.877984082,,,,,
2022-03-02T12:09:59.230,1100.564453,960.2596436,107.1477278,5.878087985,,,,,
2022-03-02T12:10:08.239,1100.782227,960.5180664,107.1834065,5.878229776,,,,,
2022-03-02T12:10:16.790,1100.967163,960.3077393,107.2192549,5.878275191,,,,,
2022-03-02T12:10:25.139,1100.739258,960.3416748,107.2547117,5.878419399,,,,,
2022-03-02T12:10:33.830,1101.172485,960.5684814,107.2907906,5.878423725,,,,,
2022-03-02T12:10:42.719,1100.842041,960.6975098,107.3270272,5.878483067,,,,,
2022-03-02T12:10:51.069,1100.563354,960.8978882,107.3660394,5.878644396,,,,,
2022-03-02T12:11:00.440,1100.910522,959.5352173,107.4014627,5.878516176,,,,,
2022-03-02T12:11:09.029,1100.963257,960.5247803,107.4380672,5.87877133,,,,,
2022-03-02T12:11:17.560,1100.804565,959.6470947,107.4732785,5.878690469,,,,,
2022-03-02T12:11:25.950,1100.577637,960.4087524,107.5133317,5.878909549,,,,,
2022-03-02T12:11:35.779,1100.894287,960.3705444,107.5489365,5.878957169,,,,,
2022-03-02T12:11:44.289,1100.944458,959.7670898,107.5847452,5.878944331,,,,,
2022-03-02T12:11:52.599,1100.952026,959.9019165,107.6202251,5.87908267,,,,,
2022-03-02T12:12:01.310,1101.412598,959.6972046,107.6602657,5.879151737,,,,,
2022-03-02T12:12:10.929,1100.949341,960.3858643,107.6960212,5.879361688,,,,,
2022-03-02T12:12:19.270,1101.034668,959.7806396,107.7316301,5.879376233,,,,,
2022-03-02T12:12:27.919,1100.938477,960.0568848,107.7670791,5.879403058,,,,,
2022-03-02T12:12:36.499,1100.604126,960.0712891,107.8025271,5.879465747,,,,,
2022-03-02T12:12:45.020,1100.907349,960.2059326,107.838617,5.879595296,,,,,
2022-03-02T12:12:53.380,1101.17627,960.3956909,107.8744809,5.879654932,,,,,
2022-03-02T12:13:02.140,1101.095459,960.4375,107.9106915,5.879762537,,,,,
2022-03-02T12:13:10.790,1100.67688,960.2329712,107.9458573,5.879839937,,,,,
2022-03-02T12:13:19.230,1100.826904,960.3653564,107.9819022,5.879877851,,,,,
2022-03-02T12:13:27.779,1100.565796,960.3515625,108.0174263,5.879960857,,,,,
2022-03-02T12:13:36.359,1100.787842,960.475769,108.052588,5.880087231,,,,,
2022-03-02T12:13:44.910,1100.888062,960.0712891,108.0888421,5.880091446,,,,,
2022-03-02T12:13:53.440,1100.846802,960.1586914,108.1242586,5.88007593,,,,,
2022-03-02T12:14:01.900,1101.191406,960.1019897,108.1601533,5.880209154,,,,,
2022-03-02T12:14:10.560,1100.44519,960.378418,108.2020993,5.880282371,,,,,
2022-03-02T12:14:20.720,1100.501465,960.1365356,108.2388373,5.880331696,,,,,
2022-03-02T12:14:29.200,1100.359619,960.3320313,108.2740713,5.880477469,,,,,
2022-03-02T12:14:37.910,1099.965088,960.4217529,108.3149039,5.880641894,,,,,
2022-03-02T12:14:47.940,1100.138672,960.6318359,108.3511725,5.880673797,,,,,
2022-03-02T12:14:56.179,1100.194214,959.9555054,108.3870256,5.880708387,,,,,
2022-03-02T12:15:04.769,1100.208496,960.4998169,108.422667,5.880857943,,,,,
2022-03-02T12:15:13.399,1100.55188,960.0137939,108.45852,5.880896158,,,,,
2022-03-02T12:15:22.020,1100.543457,960.7254028,108.4944262,5.881125795,,,,,
2022-03-02T12:15:30.669,1100.687744,960.0054321,108.5300778,5.880977274,,,,,
2022-03-02T12:15:39.120,1100.818726,959.9110718,108.5654217,5.881128181,,,,,
2022-03-02T12:15:47.620,1100.896851,960.0892944,108.601978,5.881212117,,,,,
2022-03-02T12:15:56.150,1100.442627,960.2493286,108.6367851,5.881255337,,,,,
2022-03-02T12:16:04.729,1100.744263,960.1338501,108.6736286,5.881331823,,,,,
2022-03-02T12:16:13.319,1100.777466,960.3312378,108.7089994,5.881400126,,,,,
2022-03-02T12:16:22.000,1100.338013,960.9196167,108.744399,5.881529346,,,,,
2022-03-02T12:16:30.399,1100.910522,960.0970459,108.7807872,5.881496886,,,,,
2022-03-02T12:16:38.959,1099.223511,960.0166626,108.827667,5.881638301,,,,,
2022-03-02T12:16:50.380,1098.995239,959.9884644,108.8641972,5.881751073,,,,,
2022-03-02T12:16:59.010,1098.644287,960.0675049,108.8999826,5.881833192,,,,,
2022-03-02T12:17:07.710,1094.226685,958.1158447,108.9344137,5.881303874,,,,,
2022-03-02T12:17:16.210,1099.480713,960.2054443,108.9747881,5.882037794,,,,,
2022-03-02T12:17:25.730,1099.683228,960.1446533,109.0113986,5.882001457,,,,,
2022-03-02T12:17:34.359,1099.752319,960.0107422,109.0469701,5.882121302,,,,,
2022-03-02T12:17:42.830,1099.764648,960.6387329,109.0833934,5.882365993,,,,,
2022-03-02T12:17:51.539,1099.859497,960.2634277,109.118257,5.882289313,,,,,
2022-03-02T12:18:00.069,1100.032837,960.3325806,109.1544348,5.882349926,,,,,
2022-03-02T12:18:08.569,1099.886841,959.9712524,109.190245,5.88244049,,,,,
2022-03-02T12:18:16.999,1100.013672,959.9937744,109.2257718,5.882510844,,,,,
2022-03-02T12:18:25.689,1100.439331,960.4933472,109.2615803,5.882682755,,,,,
2022-03-02T12:18:34.249,1100.266113,960.0720825,109.2970135,5.882658614,,,,,
2022-03-02T12:18:42.739,1099.687622,960.036438,109.3326073,5.88272423,,,,,
2022-03-02T12:18:51.989,1100.490112,959.8203735,109.3704009,5.882738342,,,,,
2022-03-02T12:19:00.310,1100.782593,959.7992554,109.4060615,5.882874294,,,,,
2022-03-02T12:19:08.810,1100.10144,960.4504395,109.4415235,5.882956213,,,,,
2022-03-02T12:19:17.349,1099.772949,959.8502808,109.4777568,5.883081355,,,,,
2022-03-02T12:19:26.029,1100.294922,959.8239136,109.5128001,5.883104206,,,,,
2022-03-02T12:19:34.389,1099.806519,959.7359619,109.5483055,5.883180796,,,,,
2022-03-02T12:19:42.830,1099.891724,960.2944336,109.5861258,5.883313747,,,,,
2022-03-02T12:19:51.900,1100.120361,960.0338135,109.6216193,5.88338043,,,,,
2022-03-02T12:20:00.440,1100.001709,960.3198242,109.6573122,5.8835041,,,,,
2022-03-02T12:20:09.069,1099.820435,960.4536133,109.6926772,5.883628728,,,,,
2022-03-02T12:20:17.489,1100.114624,960.4364624,109.7330254,5.883647508,,,,,
2022-03-02T12:20:27.130,1099.891357,960.5319824,109.7682008,5.883748907,,,,,
2022-03-02T12:20:44.099,1100.242432,960.2275391,109.8391932,5.883915566,,,,,
2022-03-02T12:20:52.560,1100.777832,960.2264404,109.8748973,5.88397351,,,,,
